"","X.1","Elk","Date_Time","id","X","Y"
"1",1,"Wiggins2","2015-03-03 15:01:00",2,-1082785.41840163,2357843.54701724
"2",2,"Wiggins2","2015-03-03 16:00:12",2,-1078957.24591206,2353101.78076879
"3",3,"Wiggins2","2015-03-03 17:00:12",2,-1075873.58488829,2352766.9659667
"4",4,"Wiggins2","2015-03-03 18:00:30",2,-1074311.96845002,2353398.79593361
"5",5,"Wiggins2","2015-03-03 19:00:11",2,-1073992.77640735,2353413.28759
"6",6,"Wiggins2","2015-03-03 20:00:30",2,-1073984.62818756,2353929.59203025
"7",7,"Wiggins2","2015-03-03 21:00:11",2,-1073976.65728059,2353928.46191925
"8",8,"Wiggins2","2015-03-03 22:00:11",2,-1073679.34728452,2354018.21574585
"9",9,"Wiggins2","2015-03-03 23:00:54",2,-1073716.73151277,2353926.56242379
"10",10,"Wiggins2","2015-03-04 00:00:04",2,-1073724.85907179,2353926.58711244
"11",11,"Wiggins2","2015-03-04 01:00:11",2,-1073716.26156612,2353929.87787066
"12",12,"Wiggins2","2015-03-04 02:00:30",2,-1073513.15513882,2353641.80076298
"13",13,"Wiggins2","2015-03-04 03:00:12",2,-1073566.13436498,2353669.60112728
"14",14,"Wiggins2","2015-03-04 04:00:30",2,-1073566.13436498,2353669.60112728
"15",15,"Wiggins2","2015-03-04 05:00:05",2,-1073508.00297163,2353620.77829287
"16",16,"Wiggins2","2015-03-04 06:00:30",2,-1073362.09539895,2353904.48677806
"17",17,"Wiggins2","2015-03-04 07:00:14",2,-1073361.62560601,2353907.80224524
"18",18,"Wiggins2","2015-03-04 08:00:30",2,-1073362.09539895,2353904.48677806
"19",19,"Wiggins2","2015-03-04 09:00:15",2,-1073361.78220366,2353906.69708953
"20",20,"Wiggins2","2015-03-04 10:01:13",2,-1073275.74855745,2354169.57814642
"21",21,"Wiggins2","2015-03-04 11:00:13",2,-1073338.68247013,2354356.61520861
"22",22,"Wiggins2","2015-03-04 12:00:13",2,-1073338.68247013,2354356.61520861
"23",23,"Wiggins2","2015-03-04 13:00:30",2,-1073330.39881009,2354357.69607196
"24",24,"Wiggins2","2015-03-04 14:00:30",2,-1073321.64535346,2354362.09238646
"25",25,"Wiggins2","2015-03-04 15:00:13",2,-1073297.89059082,2354357.59902366
"26",26,"Wiggins2","2015-03-04 16:00:30",2,-1073298.04718736,2354356.49387578
"27",27,"Wiggins2","2015-03-04 17:00:12",2,-1073266.16534918,2354351.97637198
"28",28,"Wiggins2","2015-03-04 18:00:25",2,-1073322.58495363,2354355.46150192
"29",29,"Wiggins2","2015-03-04 19:00:13",2,-1073227.29828087,2354167.22269371
"30",30,"Wiggins2","2015-03-04 20:00:29",2,-1073227.45486388,2354166.11754077
"31",31,"Wiggins2","2015-03-04 21:00:12",2,-1073236.05185753,2354162.8262521
