"","X","Elk","Serial","Date_Time","Date","Month","Day","Year","Hour","Longitude","Latitude","id","UTM_X","UTM_Y"
"1",8968,"Wiggins1",38063,2016-01-01 02:00:53,"2016/01/01",1,1,2016,2,-109.5370383,43.5628378,1,618150.116474014,4824359.71018264
"2",8969,"Wiggins1",38063,2016-01-01 05:00:30,"2016/01/01",1,1,2016,5,-109.5385528,43.5597806,1,618033.731517618,4824018.04401059
"3",8970,"Wiggins1",38063,2016-01-01 08:00:30,"2016/01/01",1,1,2016,8,-109.53333,43.5614183,1,618452.363929213,4824207.2806994
"4",8971,"Wiggins1",38063,2016-01-01 11:00:29,"2016/01/01",1,1,2016,11,-109.5357514,43.5611469,1,618257.365176542,4824173.73598957
"5",8972,"Wiggins1",38063,2016-01-01 14:00:30,"2016/01/01",1,1,2016,14,-109.5346931,43.5605881,1,618343.907949809,4824113.15856014
"6",8973,"Wiggins1",38063,2016-01-01 17:00:53,"2016/01/01",1,1,2016,17,-109.5322417,43.5600069,1,618543.001868069,4824052.12446757
"7",8974,"Wiggins1",38063,2016-01-01 20:00:22,"2016/01/01",1,1,2016,20,-109.5259914,43.5520581,1,619063.520993971,4823178.23361994
"8",8975,"Wiggins1",38063,2016-01-01 23:00:30,"2016/01/01",1,1,2016,23,-109.5279733,43.5501883,1,618907.099666691,4822967.71304426
"9",8976,"Wiggins1",38063,2016-01-02 02:00:43,"2016/01/02",1,2,2016,2,-109.5280081,43.5501822,1,618904.284209145,4822966.99662197
"10",8977,"Wiggins1",38063,2016-01-02 05:00:54,"2016/01/02",1,2,2016,5,-109.5290758,43.5595653,1,618799.574385241,4824007.55530719
"11",8978,"Wiggins1",38063,2016-01-02 08:00:25,"2016/01/02",1,2,2016,8,-109.5284275,43.5616244,1,618847.862611805,4824237.15646592
"12",8979,"Wiggins1",38063,2016-01-02 11:00:29,"2016/01/02",1,2,2016,11,-109.5281331,43.5574078,1,618879.978536655,4823769.34466807
"13",8980,"Wiggins1",38063,2016-01-02 14:00:30,"2016/01/02",1,2,2016,14,-109.5240131,43.5544381,1,619218.60358133,4823445.39348161
"14",8981,"Wiggins1",38063,2016-01-02 17:00:29,"2016/01/02",1,2,2016,17,-109.5258011,43.5575011,1,619068.14886203,4823783.01091554
"15",8982,"Wiggins1",38063,2016-01-02 20:00:29,"2016/01/02",1,2,2016,20,-109.5384825,43.5600417,1,618038.875483545,4824047.13035332
"16",8983,"Wiggins1",38063,2016-01-02 23:00:29,"2016/01/02",1,2,2016,23,-109.5407097,43.5612847,1,617856.587140121,4824182.01932999
"17",8984,"Wiggins1",38063,2016-01-03 02:00:30,"2016/01/03",1,3,2016,2,-109.54326,43.5637619,1,617645.818103298,4824453.50536404
"18",8985,"Wiggins1",38063,2016-01-03 05:00:22,"2016/01/03",1,3,2016,5,-109.5346658,43.5643117,1,618338.797525531,4824526.78870164
"19",8986,"Wiggins1",38063,2016-01-03 08:00:25,"2016/01/03",1,3,2016,8,-109.5344375,43.5640311,1,618357.761030218,4824495.90514857
"20",8987,"Wiggins1",38063,2016-01-03 11:00:29,"2016/01/03",1,3,2016,11,-109.5302067,43.5666194,1,618694.374861866,4824789.36502452
"21",8988,"Wiggins1",38063,2016-01-03 14:00:19,"2016/01/03",1,3,2016,14,-109.5294597,43.5644014,1,618759.058379926,4824544.09829877
"22",8989,"Wiggins1",38063,2016-01-03 17:00:40,"2016/01/03",1,3,2016,17,-109.5273053,43.5634206,1,618935.023993552,4824438.33965073
"23",8990,"Wiggins1",38063,2016-01-03 20:00:49,"2016/01/03",1,3,2016,20,-109.5309969,43.5606919,1,618642.210593011,4824129.9775582
"24",8991,"Wiggins1",38063,2016-01-03 23:00:29,"2016/01/03",1,3,2016,23,-109.5328678,43.5598372,1,618492.775835422,4824032.35154267
"25",8992,"Wiggins1",38063,2016-01-04 02:00:32,"2016/01/04",1,4,2016,2,-109.5342669,43.5593406,1,618380.75576593,4823975.27195368
"26",8993,"Wiggins1",38063,2016-01-04 05:00:30,"2016/01/04",1,4,2016,5,-109.5387658,43.5598803,1,618016.335107847,4824028.73663131
"27",8994,"Wiggins1",38063,2016-01-04 08:00:46,"2016/01/04",1,4,2016,8,-109.5300631,43.5664614,1,618706.314173027,4824772.0230034
"28",8995,"Wiggins1",38063,2016-01-04 11:00:30,"2016/01/04",1,4,2016,11,-109.527845,43.5660422,1,618886.257362309,4824728.65852538
"29",8996,"Wiggins1",38063,2016-01-04 14:00:37,"2016/01/04",1,4,2016,14,-109.5325483,43.5601164,1,618518.073890136,4824063.79379229
"30",8997,"Wiggins1",38063,2016-01-04 17:00:30,"2016/01/04",1,4,2016,17,-109.5340192,43.5574794,1,618404.432728042,4823768.82944698
"31",8998,"Wiggins1",38063,2016-01-04 20:00:48,"2016/01/04",1,4,2016,20,-109.5332708,43.5559094,1,618467.92436005,4823595.52929464
"32",8999,"Wiggins1",38063,2016-01-04 23:00:29,"2016/01/04",1,4,2016,23,-109.5358189,43.5559561,1,618262.027742632,4823597.12123442
