"","X.2","X.1","X","Elk","Serial","Date_Time","Date","Month","Day","Year","Hour","coords.x1","coords.x2","id","UTM_X","UTM_Y"
"1",1,1,1,"Wiggins1",38063,"2015-03-03 16:00:48","2015/03/03",3,3,2015,16,-109.4722403,43.5302536,1,623449.818164083,4820835.04429935
"2",2,2,2,"Wiggins1",38063,"2015-03-03 17:00:08","2015/03/03",3,3,2015,17,-109.4958314,43.5381386,1,621527.698057767,4821676.01183134
"3",3,3,3,"Wiggins1",38063,"2015-03-03 18:00:29","2015/03/03",3,3,2015,18,-109.49846,43.5363917,1,621318.791601369,4821478.14993514
"4",4,4,4,"Wiggins1",38063,"2015-03-03 19:00:15","2015/03/03",3,3,2015,19,-109.4984619,43.5346394,1,621322.145222096,4821283.45752469
"5",5,5,5,"Wiggins1",38063,"2015-03-03 20:00:42","2015/03/03",3,3,2015,20,-109.4929967,43.5337864,1,621765.431523924,4821196.70985882
"6",6,6,6,"Wiggins1",38063,"2015-03-03 21:00:07","2015/03/03",3,3,2015,21,-109.4932778,43.5336967,1,621742.905602503,4821186.41406249
"7",7,7,7,"Wiggins1",38063,"2015-03-03 22:00:30","2015/03/03",3,3,2015,22,-109.4819428,43.5347856,1,622656.575425934,4821324.0148716
"8",8,8,8,"Wiggins1",38063,"2015-03-03 23:00:48","2015/03/03",3,3,2015,23,-109.4787769,43.5329286,1,622916.158815602,4821122.44945687
"9",9,9,9,"Wiggins1",38063,"2015-03-04 00:00:00","2015/03/04",3,4,2015,0,-109.4799128,43.5358106,1,622818.517422376,4821440.84825747
"10",10,10,10,"Wiggins1",38063,"2015-03-04 01:00:30","2015/03/04",3,4,2015,1,-109.4788958,43.5400028,1,622892.173015999,4821907.91781544
"11",11,11,11,"Wiggins1",38063,"2015-03-04 02:00:16","2015/03/04",3,4,2015,2,-109.4788883,43.5399717,1,622892.8823344,4821904.4867512
"12",12,12,12,"Wiggins1",38063,"2015-03-04 03:00:08","2015/03/04",3,4,2015,3,-109.4786725,43.5407164,1,622908.740997848,4821987.43382282
"13",13,13,13,"Wiggins1",38063,"2015-03-04 04:00:30","2015/03/04",3,4,2015,4,-109.4782456,43.5412039,1,622942.247112872,4822042.26278251
"14",14,14,14,"Wiggins1",38063,"2015-03-04 05:00:09","2015/03/04",3,4,2015,5,-109.4771322,43.5439639,1,623026.634192979,4822350.43863773
"15",15,15,15,"Wiggins1",38063,"2015-03-04 06:00:23","2015/03/04",3,4,2015,6,-109.4818697,43.5456967,1,622640.350598595,4822535.9077952
"16",16,16,16,"Wiggins1",38063,"2015-03-04 07:00:44","2015/03/04",3,4,2015,7,-109.4863281,43.5497847,1,622271.946263714,4822983.35923768
"17",17,17,17,"Wiggins1",38063,"2015-03-04 08:00:16","2015/03/04",3,4,2015,8,-109.5215431,43.5586222,1,619409.848850162,4823913.61799358
"18",18,18,18,"Wiggins1",38063,"2015-03-04 09:00:18","2015/03/04",3,4,2015,9,-109.5221825,43.5616972,1,619352.086195409,4824254.21183488
"19",19,19,19,"Wiggins1",38063,"2015-03-04 10:00:29","2015/03/04",3,4,2015,10,-109.5242853,43.5608989,1,619183.895041333,4824162.56899577
"20",20,20,20,"Wiggins1",38063,"2015-03-04 11:00:17","2015/03/04",3,4,2015,11,-109.5242969,43.5608903,1,619182.943613309,4824161.55223972
"21",21,21,21,"Wiggins1",38063,"2015-03-04 12:00:08","2015/03/04",3,4,2015,12,-109.5244847,43.5607322,1,619168.071383496,4824143.73504072
"22",22,22,22,"Wiggins1",38063,"2015-03-04 13:00:10","2015/03/04",3,4,2015,13,-109.5244778,43.5607858,1,619168.530279399,4824149.74237766
"23",23,23,23,"Wiggins1",38063,"2015-03-04 14:00:29","2015/03/04",3,4,2015,14,-109.5228625,43.5612819,1,619297.986160188,4824207.14529098
"24",24,24,24,"Wiggins1",38063,"2015-03-04 15:00:19","2015/03/04",3,4,2015,15,-109.5228933,43.5612242,1,619295.677709129,4824200.66068846
"25",25,25,25,"Wiggins1",38063,"2015-03-04 16:00:30","2015/03/04",3,4,2015,16,-109.5227178,43.5612881,1,619309.685084145,4824208.0197726
"26",26,26,26,"Wiggins1",38063,"2015-03-04 17:00:17","2015/03/04",3,4,2015,17,-109.5191589,43.5615789,1,619596.548058586,4824245.45311833
"27",27,27,27,"Wiggins1",38063,"2015-03-04 18:00:06","2015/03/04",3,4,2015,18,-109.5161736,43.5631289,1,619834.554174311,4824421.89712564
"28",28,28,28,"Wiggins1",38063,"2015-03-04 19:00:30","2015/03/04",3,4,2015,19,-109.5140928,43.5656722,1,619997.569800967,4824707.32814472
"29",29,29,29,"Wiggins1",38063,"2015-03-04 20:00:17","2015/03/04",3,4,2015,20,-109.5204311,43.565955,1,619485.165784654,4824729.62757785
"30",30,30,30,"Wiggins1",38063,"2015-03-04 21:00:03","2015/03/04",3,4,2015,21,-109.5206828,43.5663617,1,619464.010340664,4824774.46726655
"31",31,31,31,"Wiggins1",38063,"2015-03-04 22:00:30","2015/03/04",3,4,2015,22,-109.5206833,43.5663094,1,619464.115105503,4824768.58102024
"32",32,32,32,"Wiggins1",38063,"2015-03-04 23:00:19","2015/03/04",3,4,2015,23,-109.5208031,43.5660264,1,619454.983600029,4824736.97821392
"33",33,33,33,"Wiggins1",38063,"2015-03-05 00:00:28","2015/03/05",3,5,2015,0,-109.5236039,43.5688111,1,619223.287322625,4825042.26199758
"34",34,34,34,"Wiggins1",38063,"2015-03-05 01:00:10","2015/03/05",3,5,2015,1,-109.5207539,43.5706997,1,619449.701745084,4825256.14909762
"35",35,35,35,"Wiggins1",38063,"2015-03-05 02:00:30","2015/03/05",3,5,2015,2,-109.5180961,43.5737717,1,619658.255068288,4825601.15332914
"36",36,36,36,"Wiggins1",38063,"2015-03-05 03:00:18","2015/03/05",3,5,2015,3,-109.5180928,43.5737789,1,619658.483446933,4825601.93507851
"37",37,37,37,"Wiggins1",38063,"2015-03-05 04:00:30","2015/03/05",3,5,2015,4,-109.5181003,43.5737775,1,619657.922177306,4825601.70287664
"38",38,38,38,"Wiggins1",38063,"2015-03-05 05:00:48","2015/03/05",3,5,2015,5,-109.5180928,43.5737658,1,619658.509192526,4825600.4912804
"39",39,39,39,"Wiggins1",38063,"2015-03-05 06:00:04","2015/03/05",3,5,2015,6,-109.517885,43.5740314,1,619674.77972692,4825630.22206478
"40",40,40,40,"Wiggins1",38063,"2015-03-05 07:00:30","2015/03/05",3,5,2015,7,-109.5185314,43.5744011,1,619621.884698639,4825670.38469704
"41",41,41,41,"Wiggins1",38063,"2015-03-05 08:00:22","2015/03/05",3,5,2015,8,-109.51844,43.5753408,1,619627.37141291,4825774.91341828
"42",42,42,42,"Wiggins1",38063,"2015-03-05 09:00:48","2015/03/05",3,5,2015,9,-109.51777,43.5751653,1,619681.819285493,4825756.33131756
"43",43,43,43,"Wiggins1",38063,"2015-03-05 10:00:11","2015/03/05",3,5,2015,10,-109.51778,43.5751631,1,619681.015793719,4825756.09479288
"44",44,44,44,"Wiggins1",38063,"2015-03-05 11:00:30","2015/03/05",3,5,2015,11,-109.5177875,43.5751292,1,619680.437181043,4825752.30718322
"45",45,45,45,"Wiggins1",38063,"2015-03-05 12:00:19","2015/03/05",3,5,2015,12,-109.5177678,43.5751194,1,619682.071898294,4825751.22537268
"46",46,46,46,"Wiggins1",38063,"2015-03-05 13:00:30","2015/03/05",3,5,2015,13,-109.5179386,43.5769089,1,619664.718946043,4825949.77908142
"47",47,47,47,"Wiggins1",38063,"2015-03-05 14:00:19","2015/03/05",3,5,2015,14,-109.5171242,43.5757839,1,619732.754059812,4825826.00890611
"48",48,48,48,"Wiggins1",38063,"2015-03-05 15:00:10","2015/03/05",3,5,2015,15,-109.517135,43.5757686,1,619731.895596741,4825824.32713567
"49",49,49,49,"Wiggins1",38063,"2015-03-05 16:00:30","2015/03/05",3,5,2015,16,-109.5171083,43.5757867,1,619734.040026843,4825826.36514364
"50",50,50,50,"Wiggins1",38063,"2015-03-05 17:00:18","2015/03/05",3,5,2015,17,-109.5149039,43.5769111,1,619909.770066146,4825954.37617286
"51",51,51,51,"Wiggins1",38063,"2015-03-05 18:00:04","2015/03/05",3,5,2015,18,-109.5136417,43.5775408,1,620010.416268797,4826026.16671276
"52",52,52,52,"Wiggins1",38063,"2015-03-05 19:00:30","2015/03/05",3,5,2015,19,-109.5109494,43.5821492,1,620218.684119873,4826541.83098539
"53",53,53,53,"Wiggins1",38063,"2015-03-05 20:00:17","2015/03/05",3,5,2015,20,-109.5159936,43.5817744,1,619812.114692625,4826492.89597531
"54",54,54,54,"Wiggins1",38063,"2015-03-05 21:00:03","2015/03/05",3,5,2015,21,-109.5159372,43.58166,1,619816.942805364,4826480.31715116
"55",55,55,55,"Wiggins1",38063,"2015-03-05 22:00:30","2015/03/05",3,5,2015,22,-109.5159489,43.5816644,1,619815.966030908,4826480.74409354
"56",56,56,56,"Wiggins1",38063,"2015-03-05 23:00:18","2015/03/05",3,5,2015,23,-109.5130536,43.5831522,1,620046.74132174,4826650.18229603
"57",57,57,57,"Wiggins1",38063,"2015-03-06 00:00:30","2015/03/06",3,6,2015,0,-109.5155297,43.5861008,1,619840.990675348,4826974.12861376
"58",58,58,58,"Wiggins1",38063,"2015-03-06 01:00:48","2015/03/06",3,6,2015,1,-109.5253728,43.5899372,1,619038.796530036,4827386.01063471
"59",59,59,59,"Wiggins1",38063,"2015-03-06 02:00:10","2015/03/06",3,6,2015,2,-109.5254692,43.5899144,1,619031.092210101,4827383.3186685
"60",60,60,60,"Wiggins1",38063,"2015-03-06 03:00:18","2015/03/06",3,6,2015,3,-109.5253722,43.5899306,1,619038.889083348,4827385.34569753
"61",61,61,61,"Wiggins1",38063,"2015-03-06 04:00:30","2015/03/06",3,6,2015,4,-109.5253686,43.5899444,1,619039.105633352,4827386.79379775
"62",62,62,62,"Wiggins1",38063,"2015-03-06 05:00:18","2015/03/06",3,6,2015,5,-109.5255692,43.5905828,1,619021.701025584,4827457.47565895
"63",63,63,63,"Wiggins1",38063,"2015-03-06 06:00:12","2015/03/06",3,6,2015,6,-109.5268789,43.5907372,1,618915.648365764,4827472.70322306
"64",64,64,64,"Wiggins1",38063,"2015-03-06 07:00:30","2015/03/06",3,6,2015,7,-109.5270367,43.595115,1,618894.272868764,4827958.70528412
"65",65,65,65,"Wiggins1",38063,"2015-03-06 08:00:16","2015/03/06",3,6,2015,8,-109.5267489,43.5966517,1,618914.492472117,4828129.81946541
"66",66,66,66,"Wiggins1",38063,"2015-03-06 09:00:10","2015/03/06",3,6,2015,9,-109.5269289,43.5969142,1,618899.447486195,4828158.65999718
"67",67,67,67,"Wiggins1",38063,"2015-03-06 10:00:10","2015/03/06",3,6,2015,10,-109.5269325,43.5969589,1,618899.035995724,4828163.65205248
"68",68,68,68,"Wiggins1",38063,"2015-03-06 11:00:30","2015/03/06",3,6,2015,11,-109.5284294,43.59801,1,618776.216756742,4828278.23780934
"69",69,69,69,"Wiggins1",38063,"2015-03-06 12:00:18","2015/03/06",3,6,2015,12,-109.5394933,43.6058694,1,617867.841151082,4829135.31214613
"70",70,70,70,"Wiggins1",38063,"2015-03-06 13:00:14","2015/03/06",3,6,2015,13,-109.5396592,43.6092044,1,617847.931607565,4829505.4681968
"71",71,71,71,"Wiggins1",38063,"2015-03-06 14:00:47","2015/03/06",3,6,2015,14,-109.5396058,43.6092075,1,617852.202837613,4829505.87659096
"72",72,72,72,"Wiggins1",38063,"2015-03-06 15:00:11","2015/03/06",3,6,2015,15,-109.5396633,43.6091842,1,617847.647865791,4829503.24128114
"73",73,73,73,"Wiggins1",38063,"2015-03-06 16:00:10","2015/03/06",3,6,2015,16,-109.5427675,43.6064031,1,617602.494179266,4829189.97670887
"74",74,74,74,"Wiggins1",38063,"2015-03-06 17:00:10","2015/03/06",3,6,2015,17,-109.5427644,43.604735,1,617606.067241455,4829004.73110638
"75",75,75,75,"Wiggins1",38063,"2015-03-06 18:00:29","2015/03/06",3,6,2015,18,-109.5437819,43.6042472,1,617524.859003501,4828949.09195395
"76",76,76,76,"Wiggins1",38063,"2015-03-06 19:00:50","2015/03/06",3,6,2015,19,-109.5458883,43.6036983,1,617355.958748473,4828885.14120074
