"","X.1","X","Elk","Serial","Date_Time","Date","Month","Day","Year","Hour","coords.x1","coords.x2","id","UTM_X","UTM_Y"
"1",22033,22033,"Wiggins2",38064,"2015-03-03 15:01:00","2015/03/03",3,3,2015,15,-109.4997,43.52036,2,621250.720558903,4819695.81790405
"2",22034,22034,"Wiggins2",38064,"2015-03-03 16:00:12","2015/03/03",3,3,2015,16,-109.4443,43.48315,2,625805.336053571,4815645.50797641
"3",22035,22035,"Wiggins2",38064,"2015-03-03 17:00:12","2015/03/03",3,3,2015,17,-109.4058,43.48407,2,628916.815474076,4815806.59089509
"4",22036,22036,"Wiggins2",38064,"2015-03-03 18:00:30","2015/03/03",3,3,2015,18,-109.3877,43.49164,2,630364.227968668,4816675.50881573
"5",22037,22037,"Wiggins2",38064,"2015-03-03 19:00:11","2015/03/03",3,3,2015,19,-109.3838,43.49217,2,630678.428077532,4816740.4871199
"6",22038,22038,"Wiggins2",38064,"2015-03-03 20:00:30","2015/03/03",3,3,2015,20,-109.3846,43.49676,2,630603.847930019,4817248.99817994
"7",22039,22039,"Wiggins2",38064,"2015-03-03 21:00:11","2015/03/03",3,3,2015,21,-109.3845,43.49676,2,630611.932969,4817249.15512768
"8",22040,22040,"Wiggins2",38064,"2015-03-03 22:00:11","2015/03/03",3,3,2015,22,-109.381,43.49793,2,630892.381350004,4817384.5950791
"9",22041,22041,"Wiggins2",38064,"2015-03-03 23:00:54","2015/03/03",3,3,2015,23,-109.3813,43.49707,2,630869.984546109,4817288.61130638
"10",22042,22042,"Wiggins2",38064,"2015-03-04 00:00:04","2015/03/04",3,4,2015,0,-109.3814,43.49706,2,630861.921149194,4817287.34344364
"11",22043,22043,"Wiggins2",38064,"2015-03-04 01:00:11","2015/03/04",3,4,2015,1,-109.3813,43.4971,2,630869.919738008,4817291.94311791
"12",22044,22044,"Wiggins2",38064,"2015-03-04 02:00:30","2015/03/04",3,4,2015,2,-109.3783,43.4948,2,631117.447306095,4817041.22654829
"13",22045,22045,"Wiggins2",38064,"2015-03-04 03:00:12","2015/03/04",3,4,2015,3,-109.379,43.49498,2,631060.460806727,4817060.11476666
"14",22046,22046,"Wiggins2",38064,"2015-03-04 04:00:30","2015/03/04",3,4,2015,4,-109.379,43.49498,2,631060.460806727,4817060.11476666
"15",22047,22047,"Wiggins2",38064,"2015-03-04 05:00:05","2015/03/04",3,4,2015,5,-109.3782,43.49462,2,631125.922184708,4817021.39324472
"16",22048,22048,"Wiggins2",38064,"2015-03-04 06:00:30","2015/03/04",3,4,2015,6,-109.3769,43.49732,2,631225.182953882,4817323.30542204
"17",22049,22049,"Wiggins2",38064,"2015-03-04 07:00:14","2015/03/04",3,4,2015,7,-109.3769,43.49735,2,631225.117969214,4817326.63723409
"18",22050,22050,"Wiggins2",38064,"2015-03-04 08:00:30","2015/03/04",3,4,2015,8,-109.3769,43.49732,2,631225.182953882,4817323.30542204
"19",22051,22051,"Wiggins2",38064,"2015-03-04 09:00:15","2015/03/04",3,4,2015,9,-109.3769,43.49734,2,631225.139630774,4817325.52663007
"20",22052,22052,"Wiggins2",38064,"2015-03-04 10:01:13","2015/03/04",3,4,2015,10,-109.3763,43.49978,2,631268.361915416,4817597.46039284
"21",22053,22053,"Wiggins2",38064,"2015-03-04 11:00:13","2015/03/04",3,4,2015,11,-109.3774,43.50136,2,631176.009228261,4817771.2012483
"22",22054,22054,"Wiggins2",38064,"2015-03-04 12:00:13","2015/03/04",3,4,2015,12,-109.3774,43.50137,2,631176.009228261,4817771.2012483
"23",22055,22055,"Wiggins2",38064,"2015-03-04 13:00:30","2015/03/04",3,4,2015,13,-109.3773,43.50138,2,631184.050338835,4817773.58010678
"24",22056,22056,"Wiggins2",38064,"2015-03-04 14:00:30","2015/03/04",3,4,2015,14,-109.3772,43.50143,2,631192.026466504,4817779.29078922
"25",22057,22057,"Wiggins2",38064,"2015-03-04 15:00:13","2015/03/04",3,4,2015,15,-109.3769,43.50142,2,631216.301380589,4817778.65321908
"26",22058,22058,"Wiggins2",38064,"2015-03-04 16:00:30","2015/03/04",3,4,2015,16,-109.3769,43.50141,2,631216.323043785,4817777.54261433
"27",22059,22059,"Wiggins2",38064,"2015-03-04 17:00:12","2015/03/04",3,4,2015,17,-109.3765,43.50141,2,631248.660722619,4817778.17346322
"28",22060,22060,"Wiggins2",38064,"2015-03-04 18:00:25","2015/03/04",3,4,2015,18,-109.3772,43.50137,2,631192.156421605,4817772.62716079
"29",22061,22061,"Wiggins2",38064,"2015-03-04 19:00:13","2015/03/04",3,4,2015,19,-109.3757,43.49982,2,631316.783026339,4817602.84948956
"30",22062,22062,"Wiggins2",38064,"2015-03-04 20:00:29","2015/03/04",3,4,2015,20,-109.3757,43.49981,2,631316.804704916,4817601.73888506
"31",22063,22063,"Wiggins2",38064,"2015-03-04 21:00:12","2015/03/04",3,4,2015,21,-109.3758,43.49977,2,631308.806780263,4817597.138663
"32",22064,22064,"Wiggins2",38064,"2015-03-04 22:00:30","2015/03/04",3,4,2015,22,-109.3758,43.49977,2,631308.806780263,4817597.138663
"33",22065,22065,"Wiggins2",38064,"2015-03-04 23:00:30","2015/03/04",3,4,2015,23,-109.3758,43.49978,2,631308.785103037,4817598.24926748
"34",22066,22066,"Wiggins2",38064,"2015-03-05 00:00:15","2015/03/05",3,5,2015,0,-109.3749,43.49991,2,631381.264881558,4817614.10771313
"35",22067,22067,"Wiggins2",38064,"2015-03-05 01:00:15","2015/03/05",3,5,2015,1,-109.3771,43.50129,2,631200.414130484,4817763.89999142
"36",22068,22068,"Wiggins2",38064,"2015-03-05 02:00:30","2015/03/05",3,5,2015,2,-109.3774,43.50141,2,631175.900945729,4817776.75427195
"37",22069,22069,"Wiggins2",38064,"2015-03-05 03:00:12","2015/03/05",3,5,2015,3,-109.3773,43.50136,2,631184.093654507,4817771.35889732
"38",22070,22070,"Wiggins2",38064,"2015-03-05 04:00:30","2015/03/05",3,5,2015,4,-109.3763,43.5033,2,631260.733632321,4817988.39327894
"39",22071,22071,"Wiggins2",38064,"2015-03-05 05:00:06","2015/03/05",3,5,2015,5,-109.3772,43.50542,2,631183.384127663,4818222.42222478
"40",22072,22072,"Wiggins2",38064,"2015-03-05 06:00:12","2015/03/05",3,5,2015,6,-109.3775,43.50584,2,631158.22288676,4818268.59470465
"41",22073,22073,"Wiggins2",38064,"2015-03-05 07:00:06","2015/03/05",3,5,2015,7,-109.3775,43.50587,2,631158.15791586,4818271.92652123
"42",22074,22074,"Wiggins2",38064,"2015-03-05 08:00:13","2015/03/05",3,5,2015,8,-109.3776,43.50564,2,631150.572170567,4818246.22496365
"43",22075,22075,"Wiggins2",38064,"2015-03-05 09:00:30","2015/03/05",3,5,2015,9,-109.3779,43.50477,2,631128.204275501,4818149.12945962
"44",22076,22076,"Wiggins2",38064,"2015-03-05 10:00:30","2015/03/05",3,5,2015,10,-109.378,43.50481,2,631120.033705343,4818153.41428922
"45",22077,22077,"Wiggins2",38064,"2015-03-05 11:00:13","2015/03/05",3,5,2015,11,-109.378,43.50475,2,631120.163604486,4818146.75065729
"46",22078,22078,"Wiggins2",38064,"2015-03-05 12:00:21","2015/03/05",3,5,2015,12,-109.378,43.50474,2,631120.185254329,4818145.64005198
"47",22079,22079,"Wiggins2",38064,"2015-03-05 13:00:12","2015/03/05",3,5,2015,13,-109.3781,43.50498,2,631111.581714339,4818172.13699799
"48",22080,22080,"Wiggins2",38064,"2015-03-05 14:00:30","2015/03/05",3,5,2015,14,-109.3784,43.50534,2,631086.550678497,4818211.6461038
"49",22081,22081,"Wiggins2",38064,"2015-03-05 15:00:13","2015/03/05",3,5,2015,15,-109.3783,43.50535,2,631094.61292692,4818212.91426219
"50",22082,22082,"Wiggins2",38064,"2015-03-05 16:00:30","2015/03/05",3,5,2015,16,-109.3784,43.50536,2,631086.507389009,4818213.86731462
"51",22083,22083,"Wiggins2",38064,"2015-03-05 17:00:12","2015/03/05",3,5,2015,17,-109.3781,43.50328,2,631115.261918654,4817983.33411371
"52",22084,22084,"Wiggins2",38064,"2015-03-05 18:00:30","2015/03/05",3,5,2015,18,-109.3777,43.50273,2,631148.789520816,4817922.88122255
