"","X","x","y","time","night","actratio","nightratio","points","first","last","bin","clustID","puma","killYN"
"1",1,465965.66247622,6771563.54645999,5.25087962962963,10,0.454545454545455,1,10,"2014-04-13 00:00:15","2014-04-18 06:01:31",1,2,1,NA
"2",2,465966.848586605,6772767.57622157,0.249791666666667,0,1,0,2,"2014-05-03 12:00:47","2014-05-03 18:00:29",0,8,1,NA
"3",3,466250.081980774,6771740.11460758,0.250138888888889,2,1,1,2,"2014-05-05 00:00:31","2014-05-05 06:00:43",0,10,1,NA
"4",4,466156.281369807,6771174.91326208,0.123819444444444,2,1,1,2,"2014-05-05 21:02:19","2014-05-06 00:00:37",0,11,1,NA
"5",5,466274.288641898,6771267.91730636,4.12478009259259,5,0.533333333333333,0.625,8,"2014-05-07 09:00:48","2014-05-11 12:00:29",1,13,1,NA
"6",6,466256.924678495,6771136.88093961,0.375,2,1,1,2,"2014-05-11 21:00:48","2014-05-12 06:00:48",0,14,1,NA
"7",7,466150.48843033,6771096.69770973,0.251273148148148,3,1,1,3,"2014-05-12 21:00:57","2014-05-13 03:02:47",0,15,1,NA
"8",8,467705.759900583,6776221.95693304,0.624791666666667,2,0.75,0.666666666666667,3,"2014-05-15 15:00:48","2014-05-16 06:00:30",0,17,1,NA
"9",9,467932.263232102,6775321.31897506,0.250740740740741,3,1,1,3,"2014-05-21 00:00:29","2014-05-21 06:01:33",0,20,1,NA
"10",10,469811.147543815,6772603.3775133,1.62491898148148,2,0.4,0.5,4,"2014-05-21 18:00:47","2014-05-23 09:00:40",1,21,1,NA
"11",11,470189.093421171,6772596.73577967,0.749872685185185,3,0.8,0.75,4,"2014-05-22 06:00:48","2014-05-23 00:00:37",0,22,1,NA
"12",12,470249.311587312,6774241.87713974,1.62517361111111,3,0.625,0.6,5,"2014-05-25 18:00:14","2014-05-27 09:00:29",1,24,1,NA
"13",13,470061.8462729,6774419.76254519,1.8749537037037,6,0.8,0.75,8,"2014-05-29 09:00:52","2014-05-31 06:00:48",1,26,1,NA
"14",14,469855.294658018,6773708.10388875,0.625196759259259,2,1,0.666666666666667,3,"2014-05-31 21:00:30","2014-06-01 12:00:47",0,27,1,NA
"15",15,470267.055426179,6774214.78721693,0.125775462962963,1,1,0.5,2,"2014-06-02 06:00:38","2014-06-02 09:01:45",0,28,1,NA
"16",16,466081.264931803,6771363.94570927,1.24972222222222,2,0.714285714285714,0.4,5,"2014-06-06 12:00:47","2014-06-07 18:00:23",1,32,1,NA
"17",17,466864.942184188,6770520.16224846,2.25016203703704,5,1,0.416666666666667,12,"2014-06-08 18:00:30","2014-06-11 00:00:44",1,33,1,NA
"18",18,465264.563622149,6768939.85414806,0.875,2,0.8,0.5,4,"2014-06-13 12:00:30","2014-06-14 09:00:30",0,34,1,NA
"19",19,465784.875225539,6769139.28426096,0.375289351851852,1,0.5,0.5,2,"2014-06-14 12:00:29","2014-06-14 21:00:54",0,35,1,NA
"20",20,466099.996113651,6769404.9256589,0.374618055555556,3,1,1,3,"2014-06-15 21:02:04","2014-06-16 06:01:31",0,37,1,NA
"21",21,465171.80323513,6770424.62424197,0.375092592592593,2,1,0.666666666666667,3,"2014-06-17 00:00:21","2014-06-17 09:00:29",0,38,1,NA
"22",22,465184.532676792,6770458.1369916,1.25021990740741,5,1,1,5,"2014-06-18 00:00:29","2014-06-19 06:00:48",1,39,1,NA
"23",23,465823.341334317,6770075.24517857,0.374143518518519,3,1,1,3,"2014-06-19 21:02:00","2014-06-20 06:00:46",0,40,1,NA
"24",24,465065.758760988,6767377.38673859,0.500115740740741,1,0.5,0.5,2,"2014-06-26 12:00:29","2014-06-27 00:00:39",0,44,1,NA
"25",25,465137.378558253,6770922.3217633,1.49962962962963,6,0.9,0.666666666666667,9,"2014-06-28 00:00:54","2014-06-29 12:00:22",1,46,1,NA
"26",26,465159.622158205,6770936.49037025,0.875150462962963,0,0.285714285714286,0,2,"2014-06-28 18:00:53","2014-06-29 15:01:06",0,47,1,NA
"27",27,465273.059394694,6772326.34072993,0.50099537037037,4,1,0.8,5,"2014-07-03 18:00:47","2014-07-04 06:02:13",0,51,1,NA
"28",28,465125.775287026,6770913.72359789,0.25,2,1,1,2,"2014-07-08 21:00:29","2014-07-09 03:00:29",0,54,1,NA
"29",29,465594.129332167,6770963.49020192,0.124907407407407,0,1,0,2,"2014-07-09 15:00:29","2014-07-09 18:00:21",0,55,1,NA
"30",30,465038.915487751,6770478.02111275,0.374988425925926,4,1,1,4,"2014-07-10 21:00:30","2014-07-11 06:00:29",0,57,1,NA
"31",31,465724.269376378,6770973.27334966,1.37454861111111,2,0.3,0.666666666666667,3,"2014-07-12 00:01:38","2014-07-13 09:00:59",1,58,1,NA
"32",32,465213.010269233,6771835.95272245,0.374965277777778,3,1,1,3,"2014-07-12 21:01:42","2014-07-13 06:01:39",0,59,1,NA
"33",33,467175.801976981,6772503.49337418,1.50034722222222,5,0.777777777777778,0.714285714285714,7,"2014-07-14 18:00:29","2014-07-16 06:00:59",1,61,1,NA
"34",34,465719.638050255,6770970.65388047,0.125162037037037,0,1,0,2,"2014-07-16 12:00:47","2014-07-16 15:01:01",0,62,1,NA
"35",35,465725.69836048,6770976.04016904,0.124930555555556,1,1,0.5,2,"2014-07-21 06:00:54","2014-07-21 09:00:48",0,64,1,NA
"36",36,465218.352411177,6769220.33177772,0.250173611111111,2,1,1,2,"2014-07-29 21:00:33","2014-07-30 03:00:48",0,70,1,NA
